ga	80.03	75.1	77.49	7446	9304	9915
wo	91.46	85.02	88.12	4603	5033	5414
ni	61.59	74.64	67.49	1289	2093	1727
all	81.18	78.2	79.66	13338	16430	17056

ga	79.89	78.11	78.99	7745	9695	9915
wo	92.3	86.55	89.33	4686	5077	5414
ni	62.87	77.24	69.32	1334	2122	1727
all	81.48	80.7	81.09	13765	16894	17056

ga	82.1	79.08	80.57	7841	9550	9915
wo	93.77	86.41	89.94	4678	4989	5414
ni	72.85	66.36	69.45	1146	1573	1727
all	84.81	80.12	82.4	13665	16112	17056

ga	83.02	78.58	80.74	7791	9385	9915
wo	93.25	87.02	90.02	4711	5052	5414
ni	67.03	72.15	69.49	1246	1859	1727
all	84.36	80.61	82.44	13748	16296	17056

ga	82.73	78.03	80.31	7737	9352	9915
wo	94.0	85.98	89.81	4655	4952	5414
ni	72.98	68.96	70.91	1191	1632	1727
all	85.23	79.64	82.34	13583	15936	17056

ga	82.33	79.46	80.87	7878	9569	9915
wo	94.41	87.11	90.61	4716	4995	5414
ni	67.46	73.6	70.4	1271	1884	1727
all	84.3	81.29	82.77	13865	16448	17056

ga	83.6	78.63	81.04	7796	9325	9915
wo	93.51	86.78	90.02	4698	5024	5414
ni	69.83	68.21	69.01	1178	1687	1727
all	85.26	80.16	82.63	13672	16036	17056

ga	82.92	76.78	79.73	7613	9181	9915
wo	92.12	88.1	90.07	4770	5178	5414
ni	71.66	63.69	67.44	1100	1535	1727
all	84.83	79.05	81.84	13483	15894	17056

ga	83.73	76.61	80.01	7596	9072	9915
wo	94.71	86.28	90.3	4671	4932	5414
ni	71.76	66.36	68.95	1146	1597	1727
all	85.98	78.64	82.14	13413	15601	17056

ga	81.45	78.12	79.75	7746	9510	9915
wo	93.03	87.99	90.44	4764	5121	5414
ni	70.47	68.96	69.71	1191	1690	1727
all	83.95	80.33	82.1	13701	16321	17056

ga	84.74	78.39	81.44	7772	9172	9915
wo	93.07	88.81	90.89	4808	5166	5414
ni	75.47	65.55	70.16	1132	1500	1727
all	86.58	80.39	83.37	13712	15838	17056

ga	85.84	76.6	80.96	7595	8848	9915
wo	93.97	87.86	90.82	4757	5062	5414
ni	70.09	68.67	69.38	1186	1692	1727
all	86.77	79.37	82.91	13538	15602	17056

ga	83.33	78.93	81.07	7826	9392	9915
wo	94.08	87.16	90.49	4719	5016	5414
ni	70.47	66.59	68.47	1150	1632	1727
all	85.38	80.29	82.76	13695	16040	17056

ga	82.0	78.67	80.3	7800	9512	9915
wo	93.74	87.07	90.28	4714	5029	5414
ni	72.2	66.94	69.47	1156	1601	1727
all	84.69	80.15	82.35	13670	16142	17056

ga	82.64	77.99	80.25	7733	9357	9915
wo	92.37	87.68	89.96	4747	5139	5414
ni	71.4	61.44	66.04	1061	1486	1727
all	84.73	79.39	81.97	13541	15982	17056

ga	84.43	78.76	81.5	7809	9249	9915
wo	93.08	88.92	90.95	4814	5172	5414
ni	71.91	68.62	70.22	1185	1648	1727
all	85.93	80.96	83.37	13808	16069	17056

ga	83.92	78.29	81.01	7762	9249	9915
wo	93.76	87.64	90.6	4745	5061	5414
ni	74.98	62.48	68.16	1079	1439	1727
all	86.27	79.66	82.83	13586	15749	17056

ga	84.1	77.7	80.77	7704	9161	9915
wo	93.73	87.74	90.63	4750	5068	5414
ni	72.4	62.59	67.14	1081	1493	1727
all	86.09	79.36	82.59	13535	15722	17056

ga	83.81	77.61	80.59	7695	9181	9915
wo	93.08	87.7	90.31	4748	5101	5414
ni	73.4	63.58	68.14	1098	1496	1727
all	85.82	79.39	82.48	13541	15778	17056

ga	84.49	78.85	81.57	7818	9253	9915
wo	93.34	88.53	90.87	4793	5135	5414
ni	73.63	64.5	68.77	1114	1513	1727
all	86.32	80.47	83.29	13725	15901	17056

ga	84.97	78.02	81.35	7736	9104	9915
wo	93.7	88.14	90.83	4772	5093	5414
ni	70.46	66.01	68.16	1140	1618	1727
all	86.3	80.02	83.04	13648	15815	17056

ga	84.48	77.25	80.7	7659	9066	9915
wo	94.19	87.38	90.66	4731	5023	5414
ni	73.18	63.35	67.91	1094	1495	1727
all	86.52	79.06	82.62	13484	15584	17056

ga	83.13	78.07	80.52	7741	9312	9915
wo	94.08	87.42	90.63	4733	5031	5414
ni	71.02	66.13	68.49	1142	1608	1727
all	85.36	79.83	82.5	13616	15951	17056

ga	85.03	78.5	81.63	7783	9153	9915
wo	94.16	88.16	91.06	4773	5069	5414
ni	74.95	66.18	70.3	1143	1525	1727
all	86.99	80.32	83.52	13699	15747	17056

ga	83.8	79.38	81.53	7871	9393	9915
wo	94.04	88.23	91.04	4777	5080	5414
ni	73.68	66.3	69.8	1145	1554	1727
all	86.06	80.87	83.38	13793	16027	17056

ga	83.61	79.22	81.36	7855	9395	9915
wo	93.48	88.49	90.92	4791	5125	5414
ni	69.14	69.66	69.4	1203	1740	1727
all	85.17	81.2	83.14	13849	16260	17056

ga	84.61	77.88	81.1	7722	9127	9915
wo	94.43	87.62	90.9	4744	5024	5414
ni	69.93	69.08	69.5	1193	1706	1727
all	86.14	80.08	83.0	13659	15857	17056

ga	83.91	78.26	80.98	7759	9247	9915
wo	93.53	87.88	90.62	4758	5087	5414
ni	71.93	66.18	68.94	1143	1589	1727
all	85.79	80.09	82.84	13660	15923	17056

ga	83.45	79.7	81.53	7902	9469	9915
wo	93.97	88.09	90.93	4769	5075	5414
ni	70.34	68.38	69.35	1181	1679	1727
all	85.38	81.21	83.25	13852	16223	17056

ga	83.64	79.12	81.32	7845	9379	9915
wo	94.11	88.01	90.96	4765	5063	5414
ni	74.26	65.49	69.6	1131	1523	1727
all	86.07	80.56	83.23	13741	15965	17056

ga	84.92	77.55	81.07	7689	9054	9915
wo	94.05	88.12	90.99	4771	5073	5414
ni	70.65	67.75	69.17	1170	1656	1727
all	86.36	79.91	83.01	13630	15783	17056

ga	84.05	78.0	80.91	7734	9202	9915
wo	94.04	87.72	90.77	4749	5050	5414
ni	74.97	63.81	68.94	1102	1470	1727
all	86.41	79.65	82.89	13585	15722	17056

ga	80.03	75.1	77.49	7446	9304	9915
wo	91.46	85.02	88.12	4603	5033	5414
ni	61.59	74.64	67.49	1289	2093	1727
all	81.18	78.2	79.66	13338	16430	17056

ga	79.89	78.11	78.99	7745	9695	9915
wo	92.3	86.55	89.33	4686	5077	5414
ni	62.87	77.24	69.32	1334	2122	1727
all	81.48	80.7	81.09	13765	16894	17056

ga	82.1	79.08	80.57	7841	9550	9915
wo	93.77	86.41	89.94	4678	4989	5414
ni	72.85	66.36	69.45	1146	1573	1727
all	84.81	80.12	82.4	13665	16112	17056

ga	83.02	78.58	80.74	7791	9385	9915
wo	93.25	87.02	90.02	4711	5052	5414
ni	67.03	72.15	69.49	1246	1859	1727
all	84.36	80.61	82.44	13748	16296	17056

ga	82.73	78.03	80.31	7737	9352	9915
wo	94.0	85.98	89.81	4655	4952	5414
ni	72.98	68.96	70.91	1191	1632	1727
all	85.23	79.64	82.34	13583	15936	17056

ga	82.33	79.46	80.87	7878	9569	9915
wo	94.41	87.11	90.61	4716	4995	5414
ni	67.46	73.6	70.4	1271	1884	1727
all	84.3	81.29	82.77	13865	16448	17056

ga	83.6	78.63	81.04	7796	9325	9915
wo	93.51	86.78	90.02	4698	5024	5414
ni	69.83	68.21	69.01	1178	1687	1727
all	85.26	80.16	82.63	13672	16036	17056

ga	82.92	76.78	79.73	7613	9181	9915
wo	92.12	88.1	90.07	4770	5178	5414
ni	71.66	63.69	67.44	1100	1535	1727
all	84.83	79.05	81.84	13483	15894	17056

ga	83.73	76.61	80.01	7596	9072	9915
wo	94.71	86.28	90.3	4671	4932	5414
ni	71.76	66.36	68.95	1146	1597	1727
all	85.98	78.64	82.14	13413	15601	17056

ga	81.45	78.12	79.75	7746	9510	9915
wo	93.03	87.99	90.44	4764	5121	5414
ni	70.47	68.96	69.71	1191	1690	1727
all	83.95	80.33	82.1	13701	16321	17056

ga	84.74	78.39	81.44	7772	9172	9915
wo	93.07	88.81	90.89	4808	5166	5414
ni	75.47	65.55	70.16	1132	1500	1727
all	86.58	80.39	83.37	13712	15838	17056

ga	85.84	76.6	80.96	7595	8848	9915
wo	93.97	87.86	90.82	4757	5062	5414
ni	70.09	68.67	69.38	1186	1692	1727
all	86.77	79.37	82.91	13538	15602	17056

ga	83.33	78.93	81.07	7826	9392	9915
wo	94.08	87.16	90.49	4719	5016	5414
ni	70.47	66.59	68.47	1150	1632	1727
all	85.38	80.29	82.76	13695	16040	17056

ga	82.0	78.67	80.3	7800	9512	9915
wo	93.74	87.07	90.28	4714	5029	5414
ni	72.2	66.94	69.47	1156	1601	1727
all	84.69	80.15	82.35	13670	16142	17056

ga	82.64	77.99	80.25	7733	9357	9915
wo	92.37	87.68	89.96	4747	5139	5414
ni	71.4	61.44	66.04	1061	1486	1727
all	84.73	79.39	81.97	13541	15982	17056

ga	84.43	78.76	81.5	7809	9249	9915
wo	93.08	88.92	90.95	4814	5172	5414
ni	71.91	68.62	70.22	1185	1648	1727
all	85.93	80.96	83.37	13808	16069	17056

ga	83.92	78.29	81.01	7762	9249	9915
wo	93.76	87.64	90.6	4745	5061	5414
ni	74.98	62.48	68.16	1079	1439	1727
all	86.27	79.66	82.83	13586	15749	17056

ga	84.1	77.7	80.77	7704	9161	9915
wo	93.73	87.74	90.63	4750	5068	5414
ni	72.4	62.59	67.14	1081	1493	1727
all	86.09	79.36	82.59	13535	15722	17056

ga	83.81	77.61	80.59	7695	9181	9915
wo	93.08	87.7	90.31	4748	5101	5414
ni	73.4	63.58	68.14	1098	1496	1727
all	85.82	79.39	82.48	13541	15778	17056

ga	84.49	78.85	81.57	7818	9253	9915
wo	93.34	88.53	90.87	4793	5135	5414
ni	73.63	64.5	68.77	1114	1513	1727
all	86.32	80.47	83.29	13725	15901	17056

ga	84.97	78.02	81.35	7736	9104	9915
wo	93.7	88.14	90.83	4772	5093	5414
ni	70.46	66.01	68.16	1140	1618	1727
all	86.3	80.02	83.04	13648	15815	17056

ga	84.48	77.25	80.7	7659	9066	9915
wo	94.19	87.38	90.66	4731	5023	5414
ni	73.18	63.35	67.91	1094	1495	1727
all	86.52	79.06	82.62	13484	15584	17056

ga	83.13	78.07	80.52	7741	9312	9915
wo	94.08	87.42	90.63	4733	5031	5414
ni	71.02	66.13	68.49	1142	1608	1727
all	85.36	79.83	82.5	13616	15951	17056

ga	85.03	78.5	81.63	7783	9153	9915
wo	94.16	88.16	91.06	4773	5069	5414
ni	74.95	66.18	70.3	1143	1525	1727
all	86.99	80.32	83.52	13699	15747	17056

ga	83.8	79.38	81.53	7871	9393	9915
wo	94.04	88.23	91.04	4777	5080	5414
ni	73.68	66.3	69.8	1145	1554	1727
all	86.06	80.87	83.38	13793	16027	17056

ga	83.61	79.22	81.36	7855	9395	9915
wo	93.48	88.49	90.92	4791	5125	5414
ni	69.14	69.66	69.4	1203	1740	1727
all	85.17	81.2	83.14	13849	16260	17056

ga	84.61	77.88	81.1	7722	9127	9915
wo	94.43	87.62	90.9	4744	5024	5414
ni	69.93	69.08	69.5	1193	1706	1727
all	86.14	80.08	83.0	13659	15857	17056

ga	83.91	78.26	80.98	7759	9247	9915
wo	93.53	87.88	90.62	4758	5087	5414
ni	71.93	66.18	68.94	1143	1589	1727
all	85.79	80.09	82.84	13660	15923	17056

ga	83.45	79.7	81.53	7902	9469	9915
wo	93.97	88.09	90.93	4769	5075	5414
ni	70.34	68.38	69.35	1181	1679	1727
all	85.38	81.21	83.25	13852	16223	17056

ga	83.64	79.12	81.32	7845	9379	9915
wo	94.11	88.01	90.96	4765	5063	5414
ni	74.26	65.49	69.6	1131	1523	1727
all	86.07	80.56	83.23	13741	15965	17056

ga	84.92	77.55	81.07	7689	9054	9915
wo	94.05	88.12	90.99	4771	5073	5414
ni	70.65	67.75	69.17	1170	1656	1727
all	86.36	79.91	83.01	13630	15783	17056

ga	84.05	78.0	80.91	7734	9202	9915
wo	94.04	87.72	90.77	4749	5050	5414
ni	74.97	63.81	68.94	1102	1470	1727
all	86.41	79.65	82.89	13585	15722	17056

