ga	45.29	51.91	48.37	543	1199	1046
wo	60.14	54.13	56.98	341	567	630
ni	55.81	56.02	55.91	149	267	266
all	50.81	53.19	51.97	1033	2033	1942

ga	57.0	59.18	58.07	619	1086	1046
wo	77.74	66.51	71.69	419	539	630
ni	83.16	61.28	70.56	163	196	266
all	65.95	61.84	63.83	1201	1821	1942

ga	65.67	62.72	64.16	656	999	1046
wo	88.17	67.46	76.44	425	482	630
ni	82.14	69.17	75.1	184	224	266
all	74.19	65.14	69.37	1265	1705	1942

ga	67.83	67.11	67.47	702	1035	1046
wo	86.19	74.29	79.8	468	543	630
ni	86.96	67.67	76.11	180	207	266
all	75.63	69.52	72.44	1350	1785	1942

ga	68.49	66.92	67.7	700	1022	1046
wo	88.18	72.22	79.41	455	516	630
ni	87.91	71.05	78.59	189	215	266
all	76.67	69.21	72.75	1344	1753	1942

ga	72.5	64.53	68.29	675	931	1046
wo	85.79	75.71	80.44	477	556	630
ni	82.33	77.07	79.61	205	249	266
all	78.17	69.88	73.79	1357	1736	1942

ga	75.0	63.38	68.7	663	884	1046
wo	85.3	75.56	80.13	476	558	630
ni	81.27	76.69	78.92	204	251	266
all	79.33	69.16	73.89	1343	1693	1942

ga	66.67	69.79	68.19	730	1095	1046
wo	84.72	75.71	79.97	477	563	630
ni	84.17	75.94	79.84	202	240	266
all	74.24	72.55	73.39	1409	1898	1942

ga	73.3	64.82	68.8	678	925	1046
wo	85.38	75.08	79.9	473	554	630
ni	82.16	74.44	78.11	198	241	266
all	78.43	69.46	73.68	1349	1720	1942

ga	73.73	69.5	71.56	727	986	1046
wo	86.3	73.97	79.66	466	540	630
ni	83.2	76.32	79.61	203	244	266
all	78.87	71.88	75.22	1396	1770	1942

ga	70.24	70.84	70.54	741	1055	1046
wo	90.32	72.54	80.46	457	506	630
ni	81.12	75.94	78.45	202	249	266
all	77.35	72.09	74.63	1400	1810	1942

ga	74.22	63.86	68.65	668	900	1046
wo	82.97	78.1	80.46	492	593	630
ni	81.12	75.94	78.45	202	249	266
all	78.19	70.13	73.94	1362	1742	1942

ga	72.34	67.02	69.58	701	969	1046
wo	86.92	74.92	80.48	472	543	630
ni	84.91	74.06	79.12	197	232	266
all	78.56	70.55	74.34	1370	1744	1942

ga	71.47	63.96	67.51	669	936	1046
wo	89.21	73.49	80.59	463	519	630
ni	81.93	76.69	79.22	204	249	266
all	78.4	68.8	73.29	1336	1704	1942

ga	70.63	71.51	71.07	748	1059	1046
wo	88.31	75.56	81.44	476	539	630
ni	80.95	76.69	78.76	204	252	266
all	77.19	73.53	75.32	1428	1850	1942

ga	75.0	65.39	69.87	684	912	1046
wo	86.08	75.56	80.47	476	553	630
ni	83.61	74.81	78.97	199	238	266
all	79.8	69.98	74.57	1359	1703	1942

ga	77.53	63.67	69.92	666	859	1046
wo	86.88	74.6	80.27	470	541	630
ni	82.4	72.18	76.95	192	233	266
all	81.32	68.38	74.29	1328	1633	1942

ga	74.78	65.2	69.66	682	912	1046
wo	86.97	75.24	80.68	474	545	630
ni	82.85	74.44	78.42	198	239	266
all	79.83	69.72	74.44	1354	1696	1942

ga	71.83	66.06	68.82	691	962	1046
wo	86.05	76.35	80.91	481	559	630
ni	86.43	71.8	78.44	191	221	266
all	78.24	70.19	74.0	1363	1742	1942

ga	72.94	67.78	70.27	709	972	1046
wo	89.39	74.92	81.52	472	528	630
ni	84.12	73.68	78.56	196	233	266
all	79.46	70.91	74.94	1377	1733	1942

ga	77.48	64.15	70.19	671	866	1046
wo	88.22	74.92	81.03	472	535	630
ni	84.05	73.31	78.31	195	232	266
all	81.94	68.9	74.85	1338	1633	1942

ga	74.6	66.83	70.5	699	937	1046
wo	87.85	75.71	81.33	477	543	630
ni	82.72	75.56	78.98	201	243	266
all	79.92	70.91	75.14	1377	1723	1942

ga	72.39	69.69	71.02	729	1007	1046
wo	86.93	76.03	81.12	479	551	630
ni	81.55	71.43	76.15	190	233	266
all	78.06	71.99	74.9	1398	1791	1942

ga	71.13	70.65	70.89	739	1039	1046
wo	87.2	75.71	81.05	477	547	630
ni	82.04	75.56	78.67	201	245	266
all	77.39	72.97	75.11	1417	1831	1942

ga	77.36	66.63	71.6	697	901	1046
wo	87.27	76.19	81.36	480	550	630
ni	80.16	77.44	78.78	206	257	266
all	80.97	71.22	75.78	1383	1708	1942

ga	75.62	67.02	71.06	701	927	1046
wo	87.89	76.03	81.53	479	545	630
ni	79.39	78.2	78.79	208	262	266
all	80.05	71.47	75.52	1388	1734	1942

ga	73.84	68.26	70.94	714	967	1046
wo	87.94	75.24	81.09	474	539	630
ni	80.99	73.68	77.17	196	242	266
all	79.18	71.27	75.01	1384	1748	1942

ga	71.44	69.12	70.26	723	1012	1046
wo	88.93	73.97	80.76	466	524	630
ni	84.07	71.43	77.24	190	226	266
all	78.26	71.01	74.46	1379	1762	1942

ga	71.82	70.17	70.99	734	1022	1046
wo	87.34	74.44	80.38	469	537	630
ni	83.26	71.05	76.67	189	227	266
all	77.94	71.68	74.68	1392	1786	1942

ga	72.82	69.41	71.07	726	997	1046
wo	88.22	74.92	81.03	472	535	630
ni	78.85	77.07	77.95	205	260	266
all	78.29	72.25	75.15	1403	1792	1942

ga	70.88	70.75	70.81	740	1044	1046
wo	87.96	75.4	81.2	475	540	630
ni	79.92	76.32	78.08	203	254	266
all	77.15	73.02	75.03	1418	1838	1942

ga	73.32	67.78	70.44	709	967	1046
wo	87.92	75.08	80.99	473	538	630
ni	80.08	75.56	77.76	201	251	266
all	78.76	71.22	74.8	1383	1756	1942

ga	76.0	65.68	70.46	687	904	1046
wo	87.2	74.6	80.41	470	539	630
ni	82.35	73.68	77.78	196	238	266
all	80.49	69.67	74.69	1353	1681	1942

ga	74.97	67.3	70.93	704	939	1046
wo	88.03	75.87	81.5	478	543	630
ni	79.61	76.32	77.93	203	255	266
all	79.74	71.32	75.29	1385	1737	1942

ga	76.07	66.25	70.82	693	911	1046
wo	87.43	76.19	81.42	480	549	630
ni	78.28	78.57	78.42	209	267	266
all	80.02	71.16	75.33	1382	1727	1942

ga	73.91	67.97	70.82	711	962	1046
wo	86.44	75.87	80.81	478	553	630
ni	80.08	75.56	77.76	201	251	266
all	78.71	71.58	74.97	1390	1766	1942

ga	75.58	65.97	70.44	690	913	1046
wo	86.18	76.19	80.88	480	557	630
ni	82.63	73.31	77.69	195	236	266
all	80.01	70.29	74.84	1365	1706	1942

