ga	73.13	70.56	71.82	4352	5951	6168
wo	91.47	80.7	85.75	2734	2989	3388
ni	80.51	75.16	77.74	1144	1421	1522
all	79.43	74.29	76.78	8230	10361	11078

ga	77.89	74.61	76.22	4602	5908	6168
wo	92.69	84.27	88.28	2855	3080	3388
ni	83.98	78.19	80.98	1190	1417	1522
all	83.1	78.06	80.5	8647	10405	11078

ga	80.15	74.09	77.0	4570	5702	6168
wo	92.06	84.53	88.14	2864	3111	3388
ni	83.57	80.88	82.2	1231	1473	1522
all	84.24	78.22	81.12	8665	10286	11078

ga	78.99	74.66	76.76	4605	5830	6168
wo	92.28	85.71	88.88	2904	3147	3388
ni	85.59	79.63	82.51	1212	1416	1522
all	83.91	78.72	81.24	8721	10393	11078

ga	81.65	74.58	77.95	4600	5634	6168
wo	92.81	85.39	88.95	2893	3117	3388
ni	83.53	76.28	79.74	1161	1390	1522
all	85.34	78.12	81.57	8654	10141	11078

ga	82.99	74.35	78.43	4586	5526	6168
wo	93.01	85.27	88.97	2889	3106	3388
ni	85.2	76.81	80.79	1169	1372	1522
all	86.41	78.03	82.0	8644	10004	11078

ga	79.67	76.07	77.83	4692	5889	6168
wo	93.22	84.06	88.41	2848	3055	3388
ni	85.47	76.15	80.54	1159	1356	1522
all	84.46	78.53	81.38	8699	10300	11078

ga	80.35	75.96	78.09	4685	5831	6168
wo	93.19	85.6	89.23	2900	3112	3388
ni	86.67	78.19	82.21	1190	1373	1522
all	85.06	79.21	82.03	8775	10316	11078

ga	81.46	73.93	77.51	4560	5598	6168
wo	93.18	83.91	88.31	2843	3051	3388
ni	84.64	70.96	77.2	1080	1276	1522
all	85.47	76.58	80.78	8483	9925	11078

ga	80.38	75.63	77.93	4665	5804	6168
wo	90.89	85.12	87.91	2884	3173	3388
ni	81.75	76.22	78.88	1160	1419	1522
all	83.77	78.62	81.11	8709	10396	11078

ga	78.42	76.61	77.5	4725	6025	6168
wo	91.44	85.74	88.5	2905	3177	3388
ni	86.85	72.93	79.29	1110	1278	1522
all	83.4	78.9	81.08	8740	10480	11078

ga	83.45	73.27	78.03	4519	5415	6168
wo	92.42	84.21	88.12	2853	3087	3388
ni	82.45	65.11	72.76	991	1202	1522
all	86.18	75.49	80.48	8363	9704	11078

ga	81.76	76.38	78.98	4711	5762	6168
wo	92.73	85.42	88.92	2894	3121	3388
ni	86.69	71.48	78.36	1088	1255	1522
