ga	81.29	75.24	78.15	4641	5709	6168
wo	92.07	86.33	89.11	2925	3177	3388
ni	88.59	72.4	79.68	1102	1244	1522
all	85.57	78.25	81.74	8668	10130	11078

ga	81.55	76.26	78.82	4704	5768	6168
wo	92.17	87.22	89.63	2955	3206	3388
ni	87.79	75.56	81.21	1150	1310	1522
all	85.66	79.52	82.47	8809	10284	11078

ga	82.58	75.15	78.69	4635	5613	6168
wo	92.75	86.48	89.51	2930	3159	3388
ni	87.81	74.77	80.77	1138	1296	1522
all	86.44	78.56	82.31	8703	10068	11078

ga	81.44	75.97	78.61	4686	5754	6168
wo	93.21	85.89	89.4	2910	3122	3388
ni	86.89	74.9	80.45	1140	1312	1522
all	85.75	78.86	82.16	8736	10188	11078

ga	81.47	75.55	78.4	4660	5720	6168
wo	92.7	86.25	89.36	2922	3152	3388
ni	89.79	71.62	79.68	1090	1214	1522
all	85.98	78.28	81.95	8672	10086	11078

